antigen_name,cancer_type,mean_tumor_expression,mean_normal_expression,stability_score,literature_support,immunogenicity_score,surface_accessibility,clinical_trials_count,viability_label,data_source,source_database,evidence_level
NKG2D,Leukemia,8.1,2.0,0.84,0.89,0.88,0.93,15,1,real,Literature,clinical
STEAP1,Prostate Cancer,8.3,2.7,0.83,0.89,0.81,0.94,10,1,validated,UniProt,preclinical
PSCA,Prostate Cancer,8.9,2.9,0.84,0.89,0.82,0.95,12,1,real,TCGA,clinical
PSCA,Pancreatic Cancer,7.5,3.0,0.8,0.85,0.78,0.94,8,0,validated,UniProt,preclinical
ALPPL2,Pancreatic Cancer,7.0,1.0,0.84,0.89,0.8,0.93,8,1,validated,UniProt,preclinical
LYPD3,Lung Adenocarcinoma,8.0,2.5,0.83,0.87,0.8,0.94,8,1,validated,UniProt,preclinical
NYESO1,Melanoma,7.0,0.5,0.89,0.94,0.96,0.4,35,1,real,Literature,clinical
NYESO1,Ovarian Cancer,6.8,0.6,0.87,0.93,0.95,0.38,25,1,real,Literature,clinical
WT1,Leukemia,6.5,0.4,0.86,0.93,0.94,0.35,30,1,real,Literature,clinical
PRAME,Melanoma,7.2,0.6,0.87,0.91,0.93,0.42,20,1,real,Literature,clinical
TYRP1,Melanoma,8.5,0.8,0.9,0.93,0.9,0.88,15,1,real,Literature,clinical
MAGEA4,Melanoma,7.0,0.3,0.88,0.94,0.95,0.38,15,1,real,Literature,clinical
MAGEA4,Lung Adenocarcinoma,6.5,0.4,0.86,0.92,0.94,0.37,10,1,validated,Literature,preclinical
LAGE1,Melanoma,6.8,0.5,0.87,0.92,0.94,0.4,8,1,validated,Literature,preclinical
SSX2,Melanoma,6.5,0.2,0.86,0.91,0.93,0.38,6,1,validated,Literature,preclinical
HER2,Breast Cancer,8.0,4.0,0.75,0.85,0.7,0.92,40,0,real,TCGA,clinical
HER2,Gastric Cancer,7.5,3.8,0.73,0.82,0.68,0.91,25,0,real,TCGA,clinical
EGFR,Lung Adenocarcinoma,7.0,5.0,0.6,0.8,0.65,0.95,30,0,real,TCGA,clinical
EGFR,Colorectal Cancer,6.8,4.8,0.62,0.78,0.63,0.94,20,0,real,TCGA,clinical
EGFR,Glioblastoma,7.2,5.2,0.58,0.79,0.64,0.95,25,0,real,TCGA,clinical
MESOTHELIN,Ovarian Cancer,7.5,3.5,0.8,0.85,0.75,0.93,35,0,real,TCGA,clinical
MESOTHELIN,Pancreatic Cancer,7.8,3.2,0.81,0.86,0.76,0.93,30,0,real,TCGA,clinical
B7H3,Breast Cancer,9.2,4.5,0.82,0.9,0.73,0.94,20,0,real,TCGA,clinical
B7H3,Prostate Cancer,8.9,4.2,0.8,0.88,0.72,0.93,15,0,real,TCGA,clinical
TROP2,Breast Cancer,8.3,3.8,0.8,0.88,0.72,0.95,15,0,real,TCGA,clinical
EPCAM,Colorectal Cancer,8.0,5.5,0.78,0.85,0.68,0.96,12,0,real,TCGA,clinical
CEACAM5,Colorectal Cancer,8.4,6.2,0.75,0.86,0.65,0.95,15,0,real,TCGA,clinical
CD30,Lymphoma,7.9,2.8,0.82,0.87,0.78,0.92,20,0,real,Literature,clinical
CCR4,Lymphoma,8.2,3.0,0.8,0.86,0.75,0.93,10,0,validated,Literature,preclinical
CD33,Leukemia,7.5,4.2,0.77,0.84,0.72,0.94,25,0,real,Literature,clinical
FLT3,Leukemia,8.1,3.5,0.81,0.88,0.74,0.93,20,0,real,Literature,clinical
TEM1,Melanoma,7.6,2.1,0.83,0.87,0.76,0.9,5,0,validated,UniProt,preclinical
MUC1,Breast Cancer,8.5,6.0,0.7,0.8,0.68,0.94,20,0,real,TCGA,clinical
MUC16,Ovarian Cancer,8.2,3.0,0.78,0.84,0.7,0.92,10,0,validated,UniProt,preclinical
GPNMB,Melanoma,8.0,3.5,0.79,0.83,0.7,0.91,5,0,validated,UniProt,preclinical
GPNMB,Breast Cancer,7.8,3.8,0.77,0.81,0.68,0.9,3,0,validated,UniProt,preclinical
CMET,Liver Cancer,7.5,4.0,0.76,0.83,0.7,0.93,10,0,validated,UniProt,preclinical
CMET,Lung Adenocarcinoma,7.2,4.2,0.74,0.81,0.68,0.92,8,0,validated,UniProt,preclinical
FGFR2,Gastric Cancer,7.8,3.3,0.79,0.84,0.72,0.93,8,0,validated,UniProt,preclinical
CEACAM7,Colorectal Cancer,7.5,5.0,0.72,0.8,0.62,0.94,3,0,validated,Literature,preclinical
CD276,Breast Cancer,8.8,4.0,0.81,0.88,0.73,0.94,15,0,real,TCGA,clinical
AXL,Lung Adenocarcinoma,7.5,3.8,0.77,0.82,0.68,0.92,5,0,validated,UniProt,preclinical
AXL,Melanoma,7.3,3.5,0.76,0.81,0.67,0.91,3,0,validated,UniProt,preclinical
PDGFRA,Glioblastoma,7.8,3.0,0.8,0.85,0.72,0.93,8,0,validated,UniProt,preclinical
CD44V6,Gastric Cancer,8.3,3.5,0.8,0.86,0.73,0.93,8,0,validated,UniProt,preclinical
CLEC12A,Leukemia,8.0,1.5,0.86,0.88,0.85,0.95,15,1,real,Literature,clinical
CD123,Leukemia,8.4,2.5,0.85,0.9,0.84,0.95,30,1,real,Literature,clinical
SLAMF7,Myeloma,8.8,1.8,0.89,0.92,0.87,0.96,20,1,real,Literature,clinical
CD37,Lymphoma,8.2,1.5,0.87,0.89,0.85,0.95,12,1,real,Literature,clinical
FCRH5,Myeloma,8.5,1.2,0.88,0.9,0.86,0.95,10,1,validated,Literature,preclinical
EGFRVIII,Glioblastoma,8.0,0.5,0.85,0.91,0.9,0.96,25,1,real,Literature,clinical
CD5,Leukemia,7.8,3.0,0.82,0.86,0.78,0.94,10,0,validated,Literature,preclinical
CD7,Leukemia,8.0,3.2,0.83,0.87,0.79,0.94,12,0,real,Literature,clinical
CLDN6,Ovarian Cancer,8.2,1.0,0.87,0.9,0.85,0.97,10,1,validated,Literature,preclinical
FAPalpha,Breast Cancer,7.5,1.5,0.84,0.87,0.8,0.93,15,1,real,Literature,clinical
FAPalpha,Pancreatic Cancer,7.8,1.8,0.83,0.86,0.79,0.92,12,1,real,Literature,clinical
CEACAM6,Colorectal Cancer,8.0,4.5,0.76,0.83,0.68,0.94,8,0,validated,Literature,preclinical
CD20,Lymphoma,9.0,1.5,0.91,0.95,0.9,0.97,60,1,real,Literature,clinical
CD38,Myeloma,9.1,2.0,0.9,0.94,0.88,0.96,50,1,real,Literature,clinical
CD38,Leukemia,7.5,3.5,0.8,0.85,0.78,0.95,15,0,real,Literature,clinical
TIGIT,Melanoma,7.0,3.0,0.8,0.84,0.82,0.93,20,0,real,Literature,clinical
TIGIT,Lung Adenocarcinoma,6.8,3.2,0.78,0.82,0.8,0.92,15,0,real,Literature,clinical
LAG3,Melanoma,6.5,2.8,0.79,0.83,0.8,0.92,15,0,real,Literature,clinical
ABC1,Head & Neck Cancer,2.12,1.33,0.854,0.335,0.737,0.917,1,0,computationally_derived,CARVanta-Computed,computational
ABC1,Leukemia,2.29,1.6,0.91,0.616,0.222,0.894,0,0,computationally_derived,CARVanta-Computed,computational
ABC1,Colorectal Cancer,4.18,2.06,0.911,0.799,0.369,0.741,0,0,computationally_derived,CARVanta-Computed,computational
ABC1,Pancreatic Cancer,4.51,0.62,0.9,0.341,0.53,0.773,0,0,computationally_derived,CARVanta-Computed,computational
ABC1,Renal Cancer,3.77,2.34,0.836,0.875,0.679,0.596,0,0,computationally_derived,CARVanta-Computed,computational
ABC1,Myeloma,7.99,0.92,0.597,0.4,0.838,0.753,0,0,computationally_derived,CARVanta-Computed,computational
ABC1,Melanoma,5.04,0.4,0.495,0.65,0.446,0.819,0,0,computationally_derived,CARVanta-Computed,computational
ABC10A,Prostate Cancer,1.66,1.28,0.929,0.75,0.151,0.769,0,0,computationally_derived,CARVanta-Computed,computational
ABC10A,Liver Cancer,2.14,0.6,0.854,0.746,0.529,0.908,0,1,computationally_derived,CARVanta-Computed,computational
ABC10A,Ovarian Cancer,2.36,2.31,0.585,0.559,0.361,0.698,0,0,computationally_derived,CARVanta-Computed,computational
ABC10A,Renal Cancer,9.8,1.36,0.697,0.565,0.906,0.675,0,0,computationally_derived,CARVanta-Computed,computational
ABC10A,Colorectal Cancer,2.82,0.93,0.873,0.587,0.607,0.593,9,0,computationally_derived,CARVanta-Computed,computational
ABC10B,Myeloma,2.48,5.49,0.806,0.708,0.272,0.811,0,0,computationally_derived,CARVanta-Computed,computational
ABC10B,Melanoma,4.59,3.02,0.795,0.644,0.378,0.935,0,0,computationally_derived,CARVanta-Computed,computational
ABC10B,Head & Neck Cancer,9.91,3.29,0.895,0.405,0.607,0.967,0,0,computationally_derived,CARVanta-Computed,computational
ABC10B,Prostate Cancer,3.14,3.58,0.71,0.52,0.514,0.785,0,0,computationally_derived,CARVanta-Computed,computational
ABC10B,Colorectal Cancer,3.47,1.47,0.709,0.735,0.564,0.983,0,0,computationally_derived,CARVanta-Computed,computational
ABC10B,Leukemia,1.59,1.05,0.751,0.691,0.555,0.647,21,0,computationally_derived,CARVanta-Computed,computational
ABC10B,Endometrial Cancer,2.52,0.67,0.927,0.684,0.374,0.849,0,1,computationally_derived,CARVanta-Computed,computational
ABC10B,Breast Cancer,4.54,2.56,0.789,0.758,0.544,0.975,0,0,computationally_derived,CARVanta-Computed,computational
ABC10C,Glioblastoma,5.17,0.83,0.54,0.724,0.77,0.56,0,0,computationally_derived,CARVanta-Computed,computational
ABC10C,Melanoma,12.67,1.67,0.82,0.507,0.805,0.907,0,0,computationally_derived,CARVanta-Computed,computational
ABC10C,Liver Cancer,4.63,0.77,0.448,0.171,0.732,0.869,4,0,computationally_derived,CARVanta-Computed,computational
ABC10C,Lymphoma,4.06,0.6,0.822,0.631,0.654,0.927,0,1,computationally_derived,CARVanta-Computed,computational
ABC10C,Bladder Cancer,8.68,2.57,0.898,0.537,0.466,0.952,4,0,computationally_derived,CARVanta-Computed,computational
ABC10C,Gastric Cancer,2.47,1.49,0.573,0.598,0.61,0.666,4,0,computationally_derived,CARVanta-Computed,computational
ABC10C,Renal Cancer,7.63,1.71,0.833,0.326,0.516,0.841,0,0,computationally_derived,CARVanta-Computed,computational
ABC10C,Myeloma,2.63,0.94,0.742,0.573,0.569,0.476,0,0,computationally_derived,CARVanta-Computed,computational
ABC10D,Liver Cancer,2.89,0.66,0.339,0.472,0.628,0.634,0,0,computationally_derived,CARVanta-Computed,computational
ABC10D,Bladder Cancer,1.15,0.62,0.789,0.497,0.185,0.617,0,0,computationally_derived,CARVanta-Computed,computational
ABC10D,Renal Cancer,4.91,2.87,0.759,0.734,0.629,0.809,10,0,computationally_derived,CARVanta-Computed,computational
ABC10D,Prostate Cancer,6.06,3.03,0.787,0.487,0.612,0.766,0,0,computationally_derived,CARVanta-Computed,computational
ABC10D,Leukemia,2.75,15.0,0.888,0.661,0.262,0.927,0,0,computationally_derived,CARVanta-Computed,computational
ABC10D,Melanoma,2.85,2.48,0.857,0.747,0.102,0.81,0,0,computationally_derived,CARVanta-Computed,computational
ABC10D,Lung Adenocarcinoma,3.65,1.44,0.952,0.354,0.429,0.753,0,0,computationally_derived,CARVanta-Computed,computational
ABC10D,Endometrial Cancer,9.44,0.8,0.765,0.37,0.848,0.587,0,0,computationally_derived,CARVanta-Computed,computational
ABC10E,Thyroid Cancer,4.1,1.69,0.941,0.532,0.516,0.903,3,0,computationally_derived,CARVanta-Computed,computational
ABC10E,Gastric Cancer,6.83,0.96,0.721,0.476,0.706,0.929,0,0,computationally_derived,CARVanta-Computed,computational
ABC10E,Prostate Cancer,1.62,1.19,0.78,0.41,0.303,0.91,0,0,computationally_derived,CARVanta-Computed,computational
ABC10E,Leukemia,3.22,1.58,0.857,0.687,0.467,0.695,0,0,computationally_derived,CARVanta-Computed,computational
ABC10E,Ovarian Cancer,1.71,1.32,0.931,0.403,0.549,0.903,0,0,computationally_derived,CARVanta-Computed,computational
ABC10E,Endometrial Cancer,3.21,2.02,0.885,0.605,0.56,0.743,0,0,computationally_derived,CARVanta-Computed,computational
ABC10E,Bladder Cancer,3.83,1.93,0.778,0.656,0.401,0.885,0,0,computationally_derived,CARVanta-Computed,computational
ABC10E,Breast Cancer,1.98,1.88,0.814,0.466,0.133,0.844,0,0,computationally_derived,CARVanta-Computed,computational
ABC10E,Colorectal Cancer,1.3,1.53,0.78,0.767,0.25,0.553,0,0,computationally_derived,CARVanta-Computed,computational
ABC10F,Bladder Cancer,3.31,1.11,0.915,0.859,0.616,0.826,0,1,computationally_derived,CARVanta-Computed,computational
ABC10F,Melanoma,3.51,3.88,0.382,0.76,0.328,0.756,0,0,computationally_derived,CARVanta-Computed,computational
ABC10F,Endometrial Cancer,1.99,1.17,0.803,0.933,0.429,0.697,17,0,computationally_derived,CARVanta-Computed,computational
ABC10F,Colorectal Cancer,9.74,3.02,0.897,0.616,0.706,0.894,0,1,computationally_derived,CARVanta-Computed,computational
ABC10F,Lymphoma,10.29,4.54,0.614,0.253,0.47,0.756,1,0,computationally_derived,CARVanta-Computed,computational
ABC10F,Myeloma,6.15,0.73,0.873,0.515,0.732,0.8,0,0,computationally_derived,CARVanta-Computed,computational
ABC10F,Head & Neck Cancer,4.73,1.94,0.817,0.724,0.438,0.764,0,1,computationally_derived,CARVanta-Computed,computational
ABC10F,Prostate Cancer,5.68,1.1,0.776,0.536,0.923,0.907,0,0,computationally_derived,CARVanta-Computed,computational
ABC10F,Ovarian Cancer,6.96,1.52,0.712,0.659,0.452,0.963,0,0,computationally_derived,CARVanta-Computed,computational
ABC10F,Pancreatic Cancer,2.98,0.32,0.93,0.801,0.705,0.528,0,1,computationally_derived,CARVanta-Computed,computational
ABC10G,Thyroid Cancer,4.38,0.52,0.939,0.859,0.803,0.876,0,1,computationally_derived,CARVanta-Computed,computational
ABC10G,Liver Cancer,2.98,1.2,0.89,0.702,0.713,0.751,2,1,computationally_derived,CARVanta-Computed,computational
ABC10G,Colorectal Cancer,6.0,1.55,0.822,0.539,0.635,0.887,0,0,computationally_derived,CARVanta-Computed,computational
ABC10G,Gastric Cancer,1.73,0.53,0.945,0.629,0.675,0.808,0,1,computationally_derived,CARVanta-Computed,computational
ABC10G,Head & Neck Cancer,2.21,2.26,0.757,0.587,0.448,0.837,0,0,computationally_derived,CARVanta-Computed,computational
ABC10G,Renal Cancer,1.4,3.71,0.948,0.467,0.304,0.835,0,0,computationally_derived,CARVanta-Computed,computational
ABC10G,Endometrial Cancer,3.64,1.12,0.796,0.724,0.588,0.835,9,1,computationally_derived,CARVanta-Computed,computational
ABC10G,Lung Adenocarcinoma,2.1,2.47,0.956,0.359,0.24,0.659,0,0,computationally_derived,CARVanta-Computed,computational
ABC10G,Pancreatic Cancer,6.0,1.05,0.683,0.884,0.772,0.947,0,0,computationally_derived,CARVanta-Computed,computational
ABC10G,Glioblastoma,1.22,3.58,0.976,0.596,0.267,0.803,0,0,computationally_derived,CARVanta-Computed,computational
ABC11A,Bladder Cancer,2.76,1.94,0.849,0.739,0.304,0.762,0,0,computationally_derived,CARVanta-Computed,computational
ABC11A,Liver Cancer,1.55,1.43,0.597,0.755,0.245,0.707,0,0,computationally_derived,CARVanta-Computed,computational
ABC11A,Leukemia,5.57,1.6,0.919,0.445,0.657,0.927,0,0,computationally_derived,CARVanta-Computed,computational
ABC11A,Lymphoma,4.21,1.04,0.771,0.749,0.432,0.968,2,1,computationally_derived,CARVanta-Computed,computational
ABC11A,Lung Adenocarcinoma,4.46,0.65,0.973,0.64,0.755,0.712,1,1,computationally_derived,CARVanta-Computed,computational
ABC11A,Ovarian Cancer,2.63,1.84,0.902,0.477,0.209,0.705,0,0,computationally_derived,CARVanta-Computed,computational
ABC11A,Glioblastoma,3.63,0.82,0.915,0.672,0.486,0.77,0,1,computationally_derived,CARVanta-Computed,computational
ABC11A,Melanoma,5.38,1.43,0.773,0.733,0.607,0.808,0,1,computationally_derived,CARVanta-Computed,computational
ABC11A,Colorectal Cancer,6.39,2.8,0.596,0.688,0.481,0.879,0,0,computationally_derived,CARVanta-Computed,computational
ABC11B,Head & Neck Cancer,4.77,1.1,0.848,0.597,0.643,0.586,13,0,computationally_derived,CARVanta-Computed,computational
ABC11B,Gastric Cancer,5.56,2.56,0.753,0.638,0.507,0.738,0,0,computationally_derived,CARVanta-Computed,computational
ABC11B,Leukemia,1.79,2.51,0.817,0.598,0.347,0.784,0,0,computationally_derived,CARVanta-Computed,computational
ABC11B,Ovarian Cancer,3.61,3.64,0.869,0.71,0.116,0.855,0,0,computationally_derived,CARVanta-Computed,computational
ABC11B,Bladder Cancer,2.34,0.65,0.761,0.822,0.85,0.754,0,1,computationally_derived,CARVanta-Computed,computational
ABC11B,Thyroid Cancer,2.87,0.87,0.825,0.518,0.608,0.951,0,0,computationally_derived,CARVanta-Computed,computational
ABC11B,Breast Cancer,2.34,0.59,0.939,0.481,0.397,0.616,19,0,computationally_derived,CARVanta-Computed,computational
ABC11B,Renal Cancer,2.09,2.35,0.807,0.522,0.247,0.885,0,0,computationally_derived,CARVanta-Computed,computational
ABC11B,Prostate Cancer,0.8,1.91,0.896,0.526,0.212,0.554,0,0,computationally_derived,CARVanta-Computed,computational
ABC11B,Glioblastoma,1.62,0.53,0.751,0.731,0.485,0.783,0,1,computationally_derived,CARVanta-Computed,computational
ABC11C,Pancreatic Cancer,12.39,1.14,0.889,0.719,0.705,0.849,2,1,computationally_derived,CARVanta-Computed,computational
ABC11C,Breast Cancer,1.36,0.93,0.934,0.634,0.403,0.874,0,0,computationally_derived,CARVanta-Computed,computational
ABC11C,Head & Neck Cancer,2.64,0.45,0.823,0.718,0.584,0.793,7,1,computationally_derived,CARVanta-Computed,computational
ABC11C,Lung Adenocarcinoma,3.91,0.8,0.917,0.629,0.845,0.769,0,1,computationally_derived,CARVanta-Computed,computational
ABC11C,Colorectal Cancer,10.17,1.6,0.578,0.77,0.565,0.734,4,0,computationally_derived,CARVanta-Computed,computational
ABC11C,Leukemia,2.35,0.96,0.771,0.628,0.586,0.828,4,1,computationally_derived,CARVanta-Computed,computational
ABC11D,Colorectal Cancer,2.35,10.09,0.759,0.536,0.354,0.571,1,0,computationally_derived,CARVanta-Computed,computational
ABC11D,Liver Cancer,3.34,3.24,0.573,0.615,0.273,0.714,0,0,computationally_derived,CARVanta-Computed,computational
ABC11D,Myeloma,3.4,0.54,0.335,0.783,0.831,0.729,0,0,computationally_derived,CARVanta-Computed,computational
ABC11D,Leukemia,2.8,1.8,0.928,0.769,0.283,0.694,0,0,computationally_derived,CARVanta-Computed,computational
ABC11D,Melanoma,3.63,2.29,0.863,0.458,0.36,0.526,0,0,computationally_derived,CARVanta-Computed,computational
ABC11D,Lung Adenocarcinoma,3.51,1.95,0.878,0.469,0.335,0.571,0,0,computationally_derived,CARVanta-Computed,computational
ABC11D,Gastric Cancer,1.65,1.3,0.661,0.47,0.528,0.943,0,0,computationally_derived,CARVanta-Computed,computational
ABC11D,Lymphoma,1.57,1.07,0.888,0.722,0.129,0.78,4,0,computationally_derived,CARVanta-Computed,computational
ABC11E,Gastric Cancer,2.71,1.1,0.862,0.698,0.454,0.815,0,1,computationally_derived,CARVanta-Computed,computational
ABC11E,Melanoma,3.1,0.48,0.99,0.851,0.871,0.575,0,1,computationally_derived,CARVanta-Computed,computational
ABC11E,Myeloma,4.87,1.73,0.578,0.748,0.361,0.791,8,0,computationally_derived,CARVanta-Computed,computational
ABC11E,Bladder Cancer,3.19,2.55,0.914,0.731,0.47,0.968,0,0,computationally_derived,CARVanta-Computed,computational
ABC11E,Pancreatic Cancer,2.08,0.45,0.946,0.706,0.643,0.691,0,1,computationally_derived,CARVanta-Computed,computational
ABC11E,Ovarian Cancer,7.46,0.67,0.972,0.55,0.817,0.683,0,0,computationally_derived,CARVanta-Computed,computational
ABC11F,Melanoma,0.59,0.94,0.808,0.711,0.577,0.956,0,0,computationally_derived,CARVanta-Computed,computational
ABC11F,Ovarian Cancer,6.42,1.19,0.966,0.811,0.61,0.883,4,1,computationally_derived,CARVanta-Computed,computational
ABC11F,Prostate Cancer,4.22,0.67,0.629,0.879,0.898,0.777,4,0,computationally_derived,CARVanta-Computed,computational
ABC11F,Head & Neck Cancer,4.75,5.15,0.691,0.63,0.443,0.969,0,0,computationally_derived,CARVanta-Computed,computational
ABC11F,Gastric Cancer,0.82,1.18,0.959,0.601,0.248,0.647,0,0,computationally_derived,CARVanta-Computed,computational
ABC11F,Bladder Cancer,2.07,1.45,0.8,0.691,0.196,0.915,4,0,computationally_derived,CARVanta-Computed,computational
ABC11F,Colorectal Cancer,4.95,2.9,0.815,0.386,0.387,0.858,0,0,computationally_derived,CARVanta-Computed,computational
ABC11F,Liver Cancer,5.56,0.64,0.862,0.69,0.843,0.955,0,1,computationally_derived,CARVanta-Computed,computational
ABC11F,Breast Cancer,2.66,1.14,0.887,0.852,0.356,0.918,0,1,computationally_derived,CARVanta-Computed,computational
ABC11G,Melanoma,5.3,3.01,0.695,0.478,0.582,0.832,0,0,computationally_derived,CARVanta-Computed,computational
ABC11G,Colorectal Cancer,0.88,2.0,0.778,0.558,0.252,0.642,0,0,computationally_derived,CARVanta-Computed,computational
ABC11G,Renal Cancer,3.39,0.64,0.831,0.753,0.632,0.543,0,1,computationally_derived,CARVanta-Computed,computational
ABC11G,Pancreatic Cancer,5.05,1.14,0.695,0.638,0.271,0.968,0,0,computationally_derived,CARVanta-Computed,computational
ABC11G,Thyroid Cancer,7.07,2.97,0.683,0.645,0.353,0.714,15,0,computationally_derived,CARVanta-Computed,computational
ABC12A,Glioblastoma,5.45,1.0,0.911,0.471,0.628,0.915,0,0,computationally_derived,CARVanta-Computed,computational
ABC12A,Melanoma,1.32,1.42,0.615,0.407,0.315,0.761,0,0,computationally_derived,CARVanta-Computed,computational
ABC12A,Pancreatic Cancer,2.62,1.07,0.884,0.605,0.321,0.963,0,1,computationally_derived,CARVanta-Computed,computational
ABC12A,Prostate Cancer,3.63,1.81,0.867,0.516,0.376,0.942,0,0,computationally_derived,CARVanta-Computed,computational
ABC12A,Head & Neck Cancer,2.3,1.55,0.969,0.433,0.589,0.941,0,0,computationally_derived,CARVanta-Computed,computational
ABC12A,Colorectal Cancer,3.36,0.42,0.923,0.317,0.647,0.86,9,0,computationally_derived,CARVanta-Computed,computational
ABC12A,Leukemia,10.67,1.43,0.895,0.617,0.619,0.856,4,1,computationally_derived,CARVanta-Computed,computational
ABC12B,Glioblastoma,7.77,4.33,0.648,0.587,0.419,0.844,0,0,computationally_derived,CARVanta-Computed,computational
ABC12B,Liver Cancer,5.12,1.13,0.843,0.39,0.872,0.452,15,0,computationally_derived,CARVanta-Computed,computational
ABC12B,Gastric Cancer,2.32,0.51,0.68,0.576,0.565,0.917,1,0,computationally_derived,CARVanta-Computed,computational
ABC12B,Breast Cancer,7.83,6.73,0.892,0.793,0.248,0.731,0,0,computationally_derived,CARVanta-Computed,computational
ABC12B,Pancreatic Cancer,11.15,1.98,0.879,0.5,0.78,0.522,0,0,computationally_derived,CARVanta-Computed,computational
ABC12C,Thyroid Cancer,9.06,2.12,0.712,0.551,0.398,0.9,3,0,computationally_derived,CARVanta-Computed,computational
ABC12C,Leukemia,1.8,1.1,0.797,0.639,0.782,0.726,0,0,computationally_derived,CARVanta-Computed,computational
ABC12C,Endometrial Cancer,4.79,1.37,0.863,0.587,0.785,0.973,0,0,computationally_derived,CARVanta-Computed,computational
ABC12C,Prostate Cancer,10.46,3.61,0.742,0.401,0.641,0.86,14,0,computationally_derived,CARVanta-Computed,computational
ABC12C,Renal Cancer,1.95,2.15,0.75,0.786,0.277,0.736,0,0,computationally_derived,CARVanta-Computed,computational
ABC12C,Pancreatic Cancer,7.59,3.21,0.583,0.806,0.672,0.906,0,0,computationally_derived,CARVanta-Computed,computational
ABC12C,Colorectal Cancer,4.43,1.69,0.788,0.609,0.338,0.812,0,1,computationally_derived,CARVanta-Computed,computational
ABC12C,Gastric Cancer,2.01,5.95,0.588,0.922,0.365,0.801,0,0,computationally_derived,CARVanta-Computed,computational
ABC12C,Ovarian Cancer,5.37,1.35,0.92,0.753,0.455,0.76,0,1,computationally_derived,CARVanta-Computed,computational
ABC12C,Glioblastoma,3.25,1.01,0.745,0.662,0.334,0.84,0,0,computationally_derived,CARVanta-Computed,computational
ABC12D,Breast Cancer,4.98,1.72,0.718,0.663,0.718,0.93,5,0,computationally_derived,CARVanta-Computed,computational
ABC12D,Endometrial Cancer,1.99,0.65,0.658,0.443,0.59,0.785,0,0,computationally_derived,CARVanta-Computed,computational
ABC12D,Thyroid Cancer,0.89,1.55,0.871,0.735,0.456,0.919,4,0,computationally_derived,CARVanta-Computed,computational
ABC12D,Myeloma,4.95,2.04,0.917,0.612,0.346,0.932,0,1,computationally_derived,CARVanta-Computed,computational
ABC12D,Renal Cancer,3.42,1.32,0.765,0.712,0.443,0.773,0,1,computationally_derived,CARVanta-Computed,computational
ABC12E,Myeloma,1.29,0.29,0.821,0.831,0.717,0.811,0,1,computationally_derived,CARVanta-Computed,computational
ABC12E,Endometrial Cancer,2.96,1.91,0.897,0.683,0.476,0.69,1,0,computationally_derived,CARVanta-Computed,computational
