antigen_name,cancer_type,mean_tumor_expression,mean_normal_expression,stability_score,literature_support,immunogenicity_score,surface_accessibility,clinical_trials_count,viability_label,data_source,source_database,evidence_level,biomarker_category,analyte_type,regulation,source_group
PRX-1 (Peroxiredoxin),Pancreatic (PDAC),7.75,0.66,0.675,0.717,0.658,0.643,2,1,real,Literature,preclinical,Antioxidant protein,Protein,up,Serum Protein
TFPI,Pancreatic (PDAC),7.49,1.41,0.805,0.682,0.615,0.741,7,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
TIMP-1,Pancreatic (PDAC),7.23,1.0,0.785,0.647,0.571,0.726,5,1,real,Literature,preclinical,Protein (MMP inhibitor),Protein,up,Serum Protein
MMP-9,Pancreatic (PDAC),8.06,1.12,0.75,0.758,0.709,0.7,5,1,real,Literature,preclinical,Enzyme,Protein,up,Serum Protein
IGFBP-1,Pancreatic (PDAC),7.26,0.51,0.837,0.651,0.576,0.765,1,1,real,Literature,preclinical,Binding protein,Protein,up,Serum Protein
IGFBP-2,Pancreatic (PDAC),7.52,2.09,0.918,0.686,0.619,0.826,12,1,real,Literature,preclinical,Binding protein,Protein,up,Serum Protein
IGFBP-3,Pancreatic (PDAC),6.94,0.85,0.667,0.608,0.523,0.638,4,1,real,Literature,preclinical,Binding protein,Protein,up,Serum Protein
MSLN (Mesothelin),Pancreatic (PDAC),8.07,1.81,0.78,0.923,0.711,0.723,95,1,real,Literature,clinical,Protein,Protein,up,Serum Protein
C5,Pancreatic (PDAC),9.21,0.98,0.885,0.911,0.901,0.802,4,1,real,Literature,preclinical,Complement protein,Protein,up,Serum Protein
MMP-7,Pancreatic (PDAC),8.28,1.53,0.877,0.787,0.746,0.795,8,1,real,Literature,preclinical,Enzyme,Protein,up,Serum Protein
Cathepsin-D,Pancreatic (PDAC),6.79,1.63,0.903,0.589,0.499,0.815,9,1,real,Literature,preclinical,Enzyme,Protein,up,Serum Protein
MMP-12,Pancreatic (PDAC),8.48,1.99,0.782,0.814,0.78,0.724,11,1,real,Literature,preclinical,Enzyme,Protein,up,Serum Protein
OPG (Osteoprotegerin),Pancreatic (PDAC),7.1,0.87,0.67,0.629,0.549,0.64,4,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
Kisspeptin,Pancreatic (PDAC),1.36,5.66,0.817,0.689,0.624,0.75,5,1,real,Literature,preclinical,Protein,Protein,down,Serum Protein
Galectin,Pancreatic (PDAC),7.85,1.32,0.828,0.73,0.675,0.758,7,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
MUC16,Pancreatic (PDAC),8.05,1.9,0.709,0.922,0.708,0.871,70,1,real,Literature,clinical,Glycoprotein,Protein,up,Serum Protein
MUC5AC,Pancreatic (PDAC),7.28,1.94,0.72,0.886,0.579,0.876,55,1,real,Literature,clinical,Glycoprotein,Protein,up,Serum Protein
PAM4,Pancreatic (PDAC),9.14,0.77,0.604,0.903,0.891,0.44,3,1,real,Literature,preclinical,Antibody marker,Antibody,up,Serum Protein
HSP27,Pancreatic (PDAC),8.82,1.03,0.668,0.859,0.837,0.638,5,1,real,Literature,preclinical,Heat shock protein,Protein,up,Serum Protein
CAM17.1,Pancreatic (PDAC),7.83,0.81,0.811,0.727,0.671,0.596,3,1,real,Literature,preclinical,Antibody marker,Antibody,up,Serum Protein
Fuc-Hpt,Pancreatic (PDAC),7.02,1.67,0.751,0.619,0.536,0.89,9,1,real,Literature,preclinical,Fucosylated glycoprotein,Protein,up,Serum Protein
SAA (Serum Amyloid A),Pancreatic (PDAC),6.63,1.37,0.812,0.568,0.472,0.747,7,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
APN/CD13,Pancreatic (PDAC),8.05,0.61,0.772,0.756,0.708,0.716,2,1,real,Literature,preclinical,Enzyme,Protein,up,Serum Protein
M2-PK,Pancreatic (PDAC),9.4,2.1,0.636,0.936,0.933,0.614,12,1,real,Literature,preclinical,Metabolic enzyme,Protein,up,Serum Protein
APOA2,Pancreatic (PDAC),8.85,0.54,0.567,0.863,0.842,0.563,1,1,real,Literature,preclinical,Apolipoprotein,Protein,up,Serum Protein
APOC1,Pancreatic (PDAC),6.92,0.91,0.766,0.606,0.52,0.712,4,1,real,Literature,preclinical,Apolipoprotein,Protein,up,Serum Protein
APOC2,Pancreatic (PDAC),8.44,1.41,0.818,0.809,0.773,0.751,7,1,real,Literature,preclinical,Apolipoprotein,Protein,up,Serum Protein
APOE,Pancreatic (PDAC),8.78,2.14,0.751,0.854,0.831,0.7,12,1,real,Literature,preclinical,Apolipoprotein,Protein,up,Serum Protein
ITIH,Pancreatic (PDAC),6.68,2.1,0.908,0.575,0.481,0.818,12,1,real,Literature,preclinical,Protein inhibitor,Protein,up,Serum Protein
APOA1,Pancreatic (PDAC),5.13,4.61,0.872,0.731,0.676,0.792,10,1,real,Literature,preclinical,Apolipoprotein,Protein,context,Serum Protein
APOL1,Pancreatic (PDAC),6.81,1.47,0.69,0.592,0.502,0.655,8,1,real,Literature,preclinical,Apolipoprotein,Protein,up,Serum Protein
TGF-beta,Pancreatic (PDAC),9.49,2.1,0.551,0.949,0.948,0.401,12,1,real,Literature,preclinical,Growth factor,Protein,up,Serum Protein
VEGF,Pancreatic (PDAC),7.43,0.73,0.777,0.674,0.605,0.571,3,1,real,Literature,preclinical,Growth factor,Protein,up,Serum Protein
FGF-10 / KGF-2,Pancreatic (PDAC),7.55,1.32,0.636,0.69,0.625,0.464,7,1,real,Literature,preclinical,Growth factor,Protein,up,Serum Protein
PDGF,Pancreatic (PDAC),7.11,1.72,0.6,0.632,0.552,0.438,9,1,real,Literature,preclinical,Growth factor,Protein,up,Serum Protein
TSGF,Pancreatic (PDAC),8.88,1.87,0.93,0.867,0.847,0.685,10,1,real,Literature,preclinical,Growth factor,Protein,up,Serum Protein
IP-10 (CXCL10),Pancreatic (PDAC),5.9,3.38,0.747,0.854,0.83,0.548,3,1,real,Literature,preclinical,Cytokine/chemokine,Protein,context,Serum Protein
IL-6,Pancreatic (PDAC),8.37,0.8,0.637,0.8,0.762,0.465,3,1,real,Literature,preclinical,Cytokine,Protein,up,Serum Protein
MIC-1 / GDF15,Pancreatic (PDAC),6.72,0.89,0.721,0.58,0.487,0.529,4,1,real,Literature,preclinical,Cytokine,Protein,up,Serum Protein
IL-11,Pancreatic (PDAC),8.83,1.27,0.828,0.861,0.838,0.609,6,1,real,Literature,preclinical,Cytokine,Protein,up,Serum Protein
YKL-40,Pancreatic (PDAC),7.28,0.47,0.567,0.654,0.581,0.413,1,1,real,Literature,preclinical,Cytokine-like,Protein,up,Serum Protein
IL-8,Pancreatic (PDAC),7.99,0.84,0.927,0.749,0.698,0.683,3,1,real,Literature,preclinical,Cytokine,Protein,up,Serum Protein
IL-10,Pancreatic (PDAC),8.0,1.18,0.713,0.749,0.699,0.522,6,1,real,Literature,preclinical,Cytokine,Protein,up,Serum Protein
IL-1beta,Pancreatic (PDAC),8.72,1.07,0.924,0.846,0.82,0.68,5,1,real,Literature,preclinical,Cytokine,Protein,up,Serum Protein
OSM (Oncostatin M),Pancreatic (PDAC),7.72,1.8,0.669,0.713,0.653,0.489,10,1,real,Literature,preclinical,Cytokine,Protein,up,Serum Protein
TNF-alpha,Pancreatic (PDAC),7.07,1.35,0.805,0.627,0.546,0.591,7,1,real,Literature,preclinical,Cytokine,Protein,up,Serum Protein
M-CSF,Pancreatic (PDAC),8.31,1.27,0.711,0.792,0.752,0.521,6,1,real,Literature,preclinical,Cytokine,Protein,up,Serum Protein
CXCL11,Pancreatic (PDAC),4.32,3.38,0.669,0.601,0.513,0.489,3,1,real,Literature,preclinical,Chemokine,Protein,context,Serum Protein
SCF (Stem Cell Factor),Pancreatic (PDAC),7.05,0.53,0.639,0.623,0.541,0.467,1,1,real,Literature,preclinical,Cytokine,Protein,up,Serum Protein
Eotaxin,Pancreatic (PDAC),7.05,2.2,0.9,0.623,0.541,0.662,12,1,real,Literature,preclinical,Chemokine,Protein,up,Serum Protein
HGF,Pancreatic (PDAC),6.76,1.32,0.741,0.584,0.493,0.543,7,1,real,Literature,preclinical,Cytokine,Protein,up,Serum Protein
MCP-1 (CCL2),Pancreatic (PDAC),7.54,2.12,0.76,0.689,0.624,0.557,12,1,real,Literature,preclinical,Chemokine,Protein,up,Serum Protein
CXCL10,Pancreatic (PDAC),5.79,3.08,0.827,0.837,0.809,0.608,1,1,real,Literature,preclinical,Chemokine,Protein,context,Serum Protein
CEACAM1,Pancreatic (PDAC),9.39,1.71,0.741,0.935,0.931,0.886,9,1,real,Literature,preclinical,Adhesion molecule,Protein,up,Serum Protein
ICAM-1,Pancreatic (PDAC),7.31,1.78,0.847,0.658,0.585,0.934,10,1,real,Literature,preclinical,Adhesion molecule,Protein,up,Serum Protein
LINC-PINT,Pancreatic (PDAC),0.97,6.84,0.693,0.617,0.534,0.239,10,1,real,Literature,preclinical,lncRNA,lncRNA,down,Serum lncRNA
SNHG15,Pancreatic (PDAC),7.49,1.6,0.668,0.682,0.615,0.224,9,1,real,Literature,preclinical,lncRNA,lncRNA,up,Serum lncRNA
LINC01238,Pancreatic (PDAC),6.96,0.91,0.807,0.611,0.526,0.31,4,1,real,Literature,preclinical,lncRNA,lncRNA,up,Serum lncRNA
ABHD11-AS1,Pancreatic (PDAC),7.73,0.84,0.747,0.714,0.655,0.273,3,1,real,Literature,preclinical,lncRNA,lncRNA,up,Serum lncRNA
HULC,Pancreatic (PDAC),8.59,2.2,0.949,0.828,0.798,0.4,12,1,real,Literature,preclinical,lncRNA,lncRNA,up,Serum lncRNA
UFC1,Pancreatic (PDAC),9.43,1.73,0.792,0.941,0.939,0.301,9,1,real,Literature,preclinical,lncRNA,lncRNA,up,Serum lncRNA
miR-21,Pancreatic (PDAC),8.54,1.06,0.847,0.945,0.791,0.335,65,1,real,Literature,clinical,miRNA,miRNA,up,Serum miRNA
miR-25,Pancreatic (PDAC),9.31,0.61,0.687,0.925,0.919,0.236,2,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-210-3p,Pancreatic (PDAC),9.23,1.24,0.947,0.915,0.906,0.398,6,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-29a,Pancreatic (PDAC),6.9,1.79,0.929,0.603,0.516,0.387,10,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-19a,Pancreatic (PDAC),7.54,1.53,0.555,0.688,0.623,0.153,8,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-210,Pancreatic (PDAC),8.78,2.1,0.854,0.854,0.829,0.34,12,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-155,Pancreatic (PDAC),7.27,1.18,0.755,0.653,0.578,0.278,6,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-499a-5p,Pancreatic (PDAC),8.09,1.48,0.916,0.762,0.715,0.379,8,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-125a-3p,Pancreatic (PDAC),1.0,5.51,0.883,0.623,0.541,0.358,5,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
miR-6893-5p,Pancreatic (PDAC),8.03,0.94,0.885,0.754,0.705,0.359,4,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-125b-1-3p,Pancreatic (PDAC),1.27,5.7,0.854,0.671,0.601,0.34,5,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
miR-6075,Pancreatic (PDAC),8.92,1.43,0.705,0.873,0.854,0.247,7,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-6836-3p,Pancreatic (PDAC),7.39,2.07,0.939,0.669,0.599,0.393,12,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-1469,Pancreatic (PDAC),8.92,1.67,0.558,0.873,0.854,0.155,9,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-6729-5p,Pancreatic (PDAC),7.64,1.86,0.706,0.702,0.64,0.247,10,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-575,Pancreatic (PDAC),8.46,0.71,0.656,0.812,0.777,0.216,3,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-204-3p,Pancreatic (PDAC),0.69,7.19,0.894,0.566,0.47,0.365,11,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
miR-6820-5p,Pancreatic (PDAC),9.37,1.29,0.837,0.932,0.928,0.33,6,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-4294,Pancreatic (PDAC),9.02,0.74,0.917,0.886,0.871,0.38,3,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-4476,Pancreatic (PDAC),7.44,1.44,0.635,0.675,0.606,0.203,7,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-4792,Pancreatic (PDAC),6.8,1.12,0.714,0.59,0.5,0.252,5,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-196a,Pancreatic (PDAC),6.77,2.08,0.819,0.586,0.495,0.318,12,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-18a,Pancreatic (PDAC),8.06,0.58,0.676,0.758,0.71,0.229,2,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-10b,Pancreatic (PDAC),9.05,1.33,0.696,0.89,0.874,0.241,7,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-106b,Pancreatic (PDAC),7.31,0.74,0.89,0.659,0.586,0.363,3,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-642-3p,Pancreatic (PDAC),9.32,1.26,0.757,0.926,0.92,0.28,6,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-885-5p,Pancreatic (PDAC),9.37,2.12,0.581,0.932,0.928,0.169,12,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-22-3p,Pancreatic (PDAC),9.34,1.63,0.64,0.929,0.924,0.206,9,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-34a,Pancreatic (PDAC),2.5,6.95,0.869,0.895,0.882,0.349,10,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
miR-191,Pancreatic (PDAC),8.06,1.63,0.868,0.758,0.71,0.349,9,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-451a,Pancreatic (PDAC),2.0,5.44,0.626,0.805,0.768,0.197,4,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
miR-121-5p,Pancreatic (PDAC),8.24,1.56,0.74,0.782,0.739,0.269,8,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-30c,Pancreatic (PDAC),1.4,6.12,0.608,0.695,0.632,0.186,7,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
miR-483-5p,Pancreatic (PDAC),8.85,0.58,0.851,0.863,0.841,0.338,2,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-1290,Pancreatic (PDAC),9.24,1.31,0.923,0.915,0.907,0.383,7,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-24,Pancreatic (PDAC),8.37,1.35,0.782,0.799,0.762,0.295,7,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-134,Pancreatic (PDAC),1.84,5.68,0.686,0.775,0.732,0.235,5,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
miR-146a,Pancreatic (PDAC),6.23,3.03,0.788,0.906,0.895,0.299,1,1,real,Literature,preclinical,miRNA,miRNA,context,Serum miRNA
miR-378,Pancreatic (PDAC),7.88,0.63,0.727,0.734,0.68,0.261,2,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-484,Pancreatic (PDAC),9.48,1.96,0.94,0.948,0.947,0.394,11,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-628-4p,Pancreatic (PDAC),8.0,1.68,0.92,0.75,0.7,0.381,9,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-1825,Pancreatic (PDAC),9.09,1.76,0.934,0.896,0.882,0.39,10,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-1246,Pancreatic (PDAC),8.28,1.78,0.922,0.933,0.746,0.383,30,1,real,Literature,clinical,miRNA,miRNA,up,Serum miRNA
miR-482-3p,Pancreatic (PDAC),5.75,4.11,0.716,0.83,0.8,0.254,7,1,real,Literature,preclinical,miRNA,miRNA,context,Serum miRNA
miR-16,Pancreatic (PDAC),1.64,6.1,0.638,0.739,0.686,0.205,7,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
miR-27a-3p,Pancreatic (PDAC),8.23,1.04,0.604,0.781,0.739,0.184,5,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-192,Pancreatic (PDAC),5.18,4.06,0.737,0.739,0.686,0.267,7,1,real,Literature,preclinical,miRNA,miRNA,context,Serum miRNA
miR-642b-3p,Pancreatic (PDAC),7.74,1.03,0.843,0.715,0.657,0.333,5,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-492,Pancreatic (PDAC),8.5,1.1,0.89,0.816,0.783,0.363,5,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-663a,Pancreatic (PDAC),7.85,1.25,0.753,0.731,0.676,0.277,6,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-194,Pancreatic (PDAC),2.1,6.55,0.652,0.823,0.791,0.214,9,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
miR-223,Pancreatic (PDAC),8.68,0.44,0.772,0.84,0.813,0.289,1,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-774-5p,Pancreatic (PDAC),8.9,0.68,0.593,0.869,0.849,0.177,2,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-409-3p,Pancreatic (PDAC),2.3,6.08,0.796,0.859,0.836,0.304,7,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
miR-128-3p,Pancreatic (PDAC),1.02,6.64,0.699,0.627,0.546,0.243,9,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
miR-20a,Pancreatic (PDAC),6.7,2.05,0.625,0.576,0.483,0.197,11,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-27a,Pancreatic (PDAC),6.94,1.22,0.926,0.609,0.524,0.385,6,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-29c,Pancreatic (PDAC),2.78,6.85,0.794,0.946,0.945,0.303,10,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
miR-30a-5p,Pancreatic (PDAC),1.32,4.67,0.567,0.681,0.614,0.161,1,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
miR-323-3p,Pancreatic (PDAC),7.95,1.82,0.708,0.744,0.692,0.249,10,1,real,Literature,preclinical,miRNA,miRNA,up,Serum miRNA
miR-345,Pancreatic (PDAC),0.99,5.76,0.762,0.62,0.538,0.282,6,1,real,Literature,preclinical,miRNA,miRNA,down,Serum miRNA
GPC1,Pancreatic (PDAC),9.19,1.72,0.917,0.976,0.899,0.965,60,1,real,Literature,clinical,Exosome,Liquid Biopsy,up,Serum Liquid Biopsy
miR-10b,Pancreatic (PDAC),9.05,1.33,0.696,0.89,0.874,0.865,7,1,real,Literature,preclinical,Exosome,Liquid Biopsy,up,Serum Liquid Biopsy
miR-30c,Pancreatic (PDAC),1.4,6.12,0.608,0.695,0.632,0.826,7,1,real,Literature,preclinical,Exosome,Liquid Biopsy,down,Serum Liquid Biopsy
miR-181a,Pancreatic (PDAC),7.19,0.52,0.852,0.642,0.565,0.936,1,1,real,Literature,preclinical,Exosome,Liquid Biopsy,up,Serum Liquid Biopsy
miR-let7a,Pancreatic (PDAC),1.67,6.87,0.877,0.745,0.694,0.947,10,1,real,Literature,preclinical,Exosome,Liquid Biopsy,down,Serum Liquid Biopsy
miR-17-5p,Pancreatic (PDAC),8.49,1.39,0.805,0.815,0.781,0.915,7,1,real,Literature,preclinical,Exosome,Liquid Biopsy,up,Serum Liquid Biopsy
miR-21,Pancreatic (PDAC),8.54,1.06,0.847,0.945,0.791,0.934,65,1,real,Literature,clinical,Exosome,Liquid Biopsy,up,Serum Liquid Biopsy
miR-1246,Pancreatic (PDAC),8.28,1.78,0.922,0.933,0.746,0.968,30,1,real,Literature,clinical,Exosome,Liquid Biopsy,up,Serum Liquid Biopsy
miR-4644,Pancreatic (PDAC),8.58,0.76,0.678,0.827,0.797,0.858,3,1,real,Literature,preclinical,Exosome,Liquid Biopsy,up,Serum Liquid Biopsy
miR-3976,Pancreatic (PDAC),8.44,1.7,0.642,0.809,0.774,0.842,9,1,real,Literature,preclinical,Exosome,Liquid Biopsy,up,Serum Liquid Biopsy
miR-4306,Pancreatic (PDAC),8.91,0.85,0.557,0.872,0.852,0.803,3,1,real,Literature,preclinical,Exosome,Liquid Biopsy,up,Serum Liquid Biopsy
KRAS (mutation),Pancreatic (PDAC),9.35,0.55,0.676,0.93,0.925,0.494,2,1,real,Literature,preclinical,ctDNA,Liquid Biopsy,up,Serum Liquid Biopsy
ADAMTS1,Pancreatic (PDAC),7.65,1.63,0.637,0.703,0.641,0.465,9,1,real,Literature,preclinical,ctDNA,Liquid Biopsy,up,Serum Liquid Biopsy
BNC1,Pancreatic (PDAC),8.61,1.29,0.931,0.831,0.802,0.686,6,1,real,Literature,preclinical,ctDNA,Liquid Biopsy,up,Serum Liquid Biopsy
CAPI+/CD45-,Pancreatic (PDAC),9.39,0.7,0.926,0.935,0.931,0.682,2,1,real,Literature,preclinical,CTC,Liquid Biopsy,up,Serum Liquid Biopsy
CK+ (Cytokeratin),Pancreatic (PDAC),8.15,1.53,0.78,0.77,0.725,0.572,8,1,real,Literature,preclinical,CTC,Liquid Biopsy,up,Serum Liquid Biopsy
CEA+,Pancreatic (PDAC),8.86,1.63,0.762,0.865,0.843,0.559,9,1,real,Literature,preclinical,CTC,Liquid Biopsy,up,Serum Liquid Biopsy
CD45-/DAPI+/CEP8,Pancreatic (PDAC),9.26,2.18,0.681,0.918,0.909,0.498,12,1,real,Literature,preclinical,CTC,Liquid Biopsy,up,Serum Liquid Biopsy
CD45,Pancreatic (PDAC),0.79,5.06,0.928,0.585,0.493,0.684,3,1,real,Literature,preclinical,CTC,Liquid Biopsy,down,Serum Liquid Biopsy
CCK19,Pancreatic (PDAC),9.26,1.93,0.757,0.919,0.911,0.555,11,1,real,Literature,preclinical,CTC,Liquid Biopsy,up,Serum Liquid Biopsy
